epoch,step,train/loss_epoch,train/loss_step,train/proxy_reg,train/selector_sparsity,train/task_loss,val/accuracy,val/loss,val/proxy_reg,val/selector_sparsity,val/task_loss
0,9,,0.0917428508400917,,,,,,,,
0,15,,,,,,0.796875,1.2834851741790771,0.6439944505691528,0.0,1.2834851741790771
0,15,0.3974935710430145,,0.582452118396759,0.0,0.3974935710430145,,,,,
1,19,,1.936626540555153e-05,,,,,,,,
1,29,,1.0542443078520591e-06,,,,,,,,
1,31,,,,,,1.0,1.063646912574768,0.6438125967979431,0.0,1.063646912574768
1,31,0.000556211918592453,,0.5742927193641663,0.0,0.000556211918592453,,,,,
2,39,,4.5916738599771634e-05,,,,,,,,
2,47,,,,,,1.0,0.8240876793861389,0.6435973644256592,0.0,0.8240876793861389
2,47,1.4365517927217297e-05,,0.5717530250549316,0.0,1.4365517927217297e-05,,,,,
